iter	Passed	Remaining
0	4	695
1	6	564
2	9	516
3	12	493
4	14	468
5	16	451
6	19	438
7	21	432
8	23	421
9	25	409
10	28	402
11	30	395
12	32	386
13	34	378
14	36	371
15	38	363
16	40	357
17	42	351
18	43	344
19	45	337
20	47	331
21	49	326
22	50	320
23	52	315
24	54	311
25	56	306
26	57	301
27	59	296
28	61	292
29	62	287
30	63	282
31	65	278
32	67	274
33	68	270
34	70	266
35	71	262
36	72	258
37	74	254
38	75	250
39	77	246
40	78	243
41	79	239
42	81	236
43	82	233
44	84	229
45	85	226
46	86	223
47	88	220
48	89	217
49	90	214
50	92	212
51	93	209
52	95	206
53	96	203
54	97	200
55	99	198
56	100	195
57	101	193
58	103	190
59	104	188
60	106	185
61	107	183
62	108	180
63	109	178
64	111	176
65	112	173
66	113	171
67	115	169
68	116	166
69	117	164
70	118	162
71	120	160
72	121	157
73	122	155
74	124	153
75	125	151
76	126	149
77	127	147
78	128	145
79	130	143
80	131	141
81	132	139
82	134	137
83	135	135
84	136	133
85	137	131
86	139	129
87	140	127
88	141	125
89	143	123
90	144	122
91	145	120
92	146	118
93	148	116
94	149	114
95	150	113
96	152	111
97	153	109
98	154	107
99	155	106
100	157	104
101	158	102
102	159	100
103	161	99
104	162	97
105	163	95
106	164	93
107	166	92
108	167	90
109	168	88
110	169	87
111	171	85
112	172	83
113	173	82
114	174	80
115	175	78
116	177	77
117	178	75
118	179	74
119	181	72
120	182	70
121	183	69
122	184	67
123	185	65
124	187	64
125	188	62
126	189	61
127	190	59
128	192	58
129	193	56
130	194	54
131	195	53
132	197	51
133	198	50
134	199	48
135	200	47
136	202	45
137	203	44
138	204	42
139	205	41
140	206	39
141	208	38
142	209	36
143	210	35
144	211	33
145	213	32
146	214	30
147	215	29
148	216	27
149	217	26
150	219	24
151	220	23
152	221	21
153	222	20
154	224	18
155	225	17
156	226	15
157	228	14
158	229	12
159	230	11
160	231	10
161	232	8
162	234	7
163	235	5
164	236	4
165	237	2
166	239	1
167	240	0
